ID,ID2,Item title,Final URL,Image URL,Item subtitle,Item description,Item category,Price,Sale price
1794,,Alfoor плечевая часть крыла зам.,https://baron.kz/myaso-ptica/ptica/alfoor-plechevaya-chast-kryla-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alfoor-plechevaya-chast-kryla-zam-600x400.jpg,,,,1725.00 KZT,
1754,,Alfoor голень цыплят бройлеров зам.,https://baron.kz/myaso-ptica/ptica/golen-cyplyat-brojlerov-alfoor-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/golen-cyplyat-brojlerov-alfoor-zam-600x400.jpg,,,,1675.00 KZT,
815,,Цыпленок бройлер «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/cyplenok-broyler-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_br-600x400.jpg,,,,1350.00 KZT,
1908,,Alfoor мякоть бедра цыплят бройлеров зам.,https://baron.kz/index.php?route=product/product&path=208_212&product_id=1908,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alfoor-myakot-bedra-cyplyat-brojlerov-zam-600x400.jpg,,,,2400.00 KZT,
792,,Грудинка куриная «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/grudka-kurinaya-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_fl-600x400.jpg,,,,2225.00 KZT,
1752,,Alfoor цыпленок бройлер зам.,https://baron.kz/myaso-ptica/ptica/cyplenok-brojler-alfoor-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/cyplenok-brojler-alfoor-zam-600x400.jpg,,,,1590.00 KZT,
1906,,"Крылья куриные острые баффало «Петелинка» зам., 1 кг",https://baron.kz/index.php?route=product/product&path=208_212&product_id=1906,https://baron.kz/image/cache/catalog/catalog/meat_products/products/krylya-kurinye-ostrye-baffalo-petelinka-zam-1-kg-600x400.jpg,,,,3025.00 KZT,
1753,,Alfoor филе цыплят бройлеров зам.,https://baron.kz/myaso-ptica/ptica/file-cyplyat-brojlerov-alfoor-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/file-cyplyat-brojlerov-alfoor-zam-600x400.jpg,,,,2525.00 KZT,
1198,,"Суповой набор курица зам., 1 кг",https://baron.kz/myaso-ptica/ptica/supovoj-nabor-kurica-zam-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/supnaborkur-600x400.jpg,,,,250.00 KZT,
818,,Окорочок куриный «Алатау-құс» зам.,https://baron.kz/myaso-ptica/ptica/okorochok-kurinyy-alatau-kus-zam/,https://baron.kz/image/cache/catalog/catalog/meat/chicken/alks/alks_ok-600x400.jpg,,,,1212.00 KZT,
862,,"Фарш говяжий замороженный, 380 г",https://baron.kz/zamorozhennye-produkty/farsh/farsh-govyazhiy-zamorozhennyy-380-g/,https://baron.kz/image/cache/catalog/catalog/frozen/776A9034-600x400.jpg,,,,1800.00 KZT,
1395,,"Колбаски гриль из говядины зам., 550 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-gril-iz-govyadiny-zam-550-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/kolbaski-gril-iz-govyadiny-zam-550-g-600x400.jpg,,,,2118.00 KZT,
920,,"Колбаски гриль из свинины зам., 500 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-gril-iz-svininy-zam-400-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/bf_grll_kur-600x400.jpg,,,,1623.00 KZT,
919,,"Колбаски гриль из баранины с кинзой зам., 500 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-gril%27-iz-baraniny-s-kinzoj-zam.%2C-400-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/sausage/bf_grll_bar-600x400.jpg,,,,2603.00 KZT,
1127,,"Тушеная свинина в банке, 400 г",https://baron.kz/konservy/tushenka-iz-svininy/,https://baron.kz/image/cache/catalog/catalog/frozen/tushenaya-svinina-v-banke400-g-600x400.png,,,,1225.00 KZT,
795,,"Колбаски гриль из баранины зам., 500 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-gril-iz-baraniny-zam-400-g/,https://baron.kz/image/cache/catalog/catalog/frozen/776A8919-600x400.jpg,,,,2603.00 KZT,
805,,"Шашлык из  крыльев куриных, 1 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/marinovannye-kurinye-krylya-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_sh_kur-600x400.jpg,,,,3095.00 KZT,
918,,"Мясные рёбра свиные в маринаде, 1 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/myasnye-ryobra-svinye-v-marinade-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/rebra-v-marinade-600x400.jpg,,,,3120.00 KZT,
793,,"Колбаски гриль из птицы зам., 500 г",https://baron.kz/myasnye-produkty/kolbaski/kolbaski-gril-iz-kuricy-zam-400-g/,https://baron.kz/image/cache/catalog/catalog/frozen/776A8921-600x400.jpg,,,,1403.00 KZT,
803,,"Шашлык из баранины, 1 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/shashlyk-iz-baraniny-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_sh_bar-600x400.jpg,,,,5745.00 KZT,
804,,"Шашлык из свиной шейки, 1 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/shashlyk-iz-svininy-1-kg/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/bf_sh_sv-600x400.jpg,,,,5000.00 KZT,
917,,"Шея свиная стейками в маринаде, 1 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/sheya-svinaya-stejkami-v-marinade-1-kg/,https://baron.kz/image/cache/catalog/catalog/frozen/sheya-svinaya-stejkami-v-marinade-600x400.jpg,,,,5195.00 KZT,
916,,"Цыплёнок табака в маринаде, 700 г",https://baron.kz/myasnye-produkty/shashlyk-i-gril/cyplenok-tabaka-v-marinade-700-g/,https://baron.kz/image/cache/catalog/catalog/meat_products/products/cyplyonok-tabaka-v-marinade-700-600x400.png,,,,1652.00 KZT,
1197,,"Уголь березовый брикетированный, 2 кг",https://baron.kz/myasnye-produkty/shashlyk-i-gril/ugol-berezovyj-briketirovannyj-4-kg/,https://baron.kz/image/cache/catalog/catalog/shashlyk/ugol-berezovyj-briketirovannyj-4-kg-600x400.jpg,,,,1600.00 KZT,
